"question","answer","category","keywords"
"是否提供拉花或拉花加购？","拉花在奶咖类可提供，复杂图案视当时客流与杯型而定。若为生日/纪念可备注，我们会尽量满足。","点单帮助","拉花;拉花加购;拉花券"
"菜单位于哪里可以看？","纸质菜单在收银台与桌牌，电子菜单可在星巴克App“点单/菜单”查看，季节限定会在屏幕与海报更新。","营业信息","菜单;电子菜单;季节限定;App"
"今天有哪些季节限定饮品？","如南瓜香料拿铁（PSL）等季节限定，以星巴克App菜单与门店海报为准，售完即止。","产品与原料","季节限定;新品;PSL;今日限定"
"热量信息可以提供吗？","部分标准配方饮品提供参考热量区间，具体以门店营养表为准。可通过减糖、换奶等方式降低热量。","过敏与健康","热量;卡路里;营养表;低脂"
"是否有无麸质或素食选择？","饮品多为无麸质；糕点部分含麸质。素食可选黑咖啡、茶饮与植物奶拿铁。","过敏与健康","无麸质;素食;vegan;gluten"
"点错了可以修改或取消吗？","未制作可立即修改或取消。已制作如口味不符，我们支持一次性调整或重做，请当场与店员沟通。","售后与反馈","改单;取消;退换;重做"
"饮品不满意可以退换吗？","若与点单不符或明显品质问题，我们可免费重做或退款。请在当场或30分钟内联系门店。","售后与反馈","退换;退款;品质;售后"
"丢了东西怎么办？","可联系吧台协助寻找，若确认遗失我们会登记并在后台失物招领区保管7天。易腐或隐私物品按规范处理。","售后与反馈","失物;丢失;招领"
"如何联系门店或客服？","可致电门店电话（见收据/门店页），或在星巴克App“客服/帮助”反馈，工作时间内一般5–10分钟内回复。","售后与反馈","客服;电话;联系;App"
"是否支持外卖或自取？","支持星巴克App Mobile Order & Pay 自取，并在第三方平台提供外送服务（依门店开放而定）。自取通常优先制作；外送交付以骑手到店时间为准。","外送与自取","外卖;自取;Mobile Order & Pay;到店取"
"外卖包装是否保温防漏？","热饮配隔热杯套与防漏盖，冷饮加封口膜；长距离配送风味会受影响，建议就近门店下单。","外送与自取","外卖;包装;保温;防漏"
"能否指定时间取餐？","星巴克App可预约近时段取餐时间，现场以取餐台与叫号屏为准，超时可能受库存影响。","外送与自取","预约取餐;定时;自取;App"
"电子小票可以补发吗？","可在星巴克App订单详情查看并导出电子收据；柜台也可根据支付记录补打纸质收据或发送电子版本。","支付与发票","收据;电子收据;补打;App"
"开票需要哪些信息？","通常需要公司名称、邮箱、账单地址与税务识别信息（如适用）。我们将通过总部系统发送符合规范的电子发票（Invoice）。","支付与发票","开票;Invoice;公司;账单地址;税务"
"是否有企业团购或大额采购？","支持企业咖啡券、节日礼盒与咖啡豆批量订购，量大从优，请至少提前3个工作日与我们沟通配送与发票事宜。","会员与优惠","企业;团购;采购;礼盒"
"店内是否有噪音或音乐音量能调低吗？","我们会将音乐音量控制在舒适范围，若您有需要可与店员沟通临时调低或引导至安静座位。","门店设施","噪音;音乐;音量;安静"
"使用自己的随行杯可以清洗吗？","可在非高峰时段协助简单冲洗与消毒；请自备可密封杯盖并确认耐热。","门店设施","随行杯;清洗;自带杯"
"可以拍照或录像吗？","允许非商业拍摄，请勿影响其他顾客与运营。如需商拍或设备较多，请提前与门店沟通时间与区域。","营业信息","拍照;录像;商拍;摄影"
"有环保回收吗？","提供随行杯清洗、纸杯回收与咖啡渣免费领取（适合除味/园艺）。请在吧台处询问。","会员与优惠","环保;回收;咖啡渣;循环"
"什么是手冲咖啡？","手冲是以滤杯与滤纸对热水进行定量注水萃取，风味清晰、层次分明。我们提供多种产区与烘焙度可选。","产品与原料","手冲;滤杯;V60;风味"
"冷萃和冰滴有什么不同？","冷萃以冷水长时间浸泡，口感顺滑、酸感柔和；冰滴以冰水缓慢滴滤，层次更突出，制作时间更长。","产品与原料","冷萃;冰滴;区别"
"可以要求更热或不要太烫吗？","热饮可做45/55/65°C三档，更热可能影响风味与安全，不建议超过70°C。","点单帮助","温度;烫;更热;不烫"
"气泡饮会很甜吗？","默认半糖并带气泡刺激，可改无糖或代糖；如介意气泡感可换同款无气泡版本。","产品与原料","气泡饮;甜度;代糖"
"榛果拿铁是否含坚果？","榛果糖浆为风味糖浆，不含真实坚果碎；对坚果高度过敏者仍建议避免或选择其他风味。","过敏与健康","榛果;坚果;过敏"
"抹茶产品是否含咖啡因？","抹茶粉含天然茶多酚与咖啡因，含量低于一杯美式，晚间对咖啡因敏感者可选择低因或茶饮。","产品与原料","抹茶;咖啡因;茶"
"可以少奶或不加奶吗？","奶咖可改为半奶或短萃，或改为黑咖啡类；奶盖类不建议去奶。","点单帮助","少奶;不加奶;黑咖"
"大杯和中杯容量差多少？","中杯约360ml，大杯约470ml，手冲容量随豆单与配方略有差异，以当日标注为准。","点单帮助","杯型;容量;中杯;大杯"
"可以做热可可或巧克力吗？","可提供热可可与摩卡系列，支持调整甜度与奶型。","产品与原料","可可;巧克力;摩卡"
"你们有早餐/三明治吗？","提供现烤可颂、贝果、吐司与热三明治，具体以当天出品为准，售完即止。","产品与原料","早餐;三明治;可颂;贝果"
"糕点含哪些常见过敏原？","部分含小麦、乳制品、鸡蛋与坚果，柜台配料标签中有详细标识，如对某成分敏感请先咨询。","过敏与健康","糕点;过敏原;配料"
"如何保存带走的咖啡豆？","避免阳光直射与潮湿，常温密封，开袋后建议2–4周内饮用最佳。意式拼配更耐保存。","产品与原料","保存;咖啡豆;密封;保质"
"线上下单后可以指定不吸管吗？","备注“无吸管/无餐具”即可，我们将以环保为优先准备。","外送与自取","吸管;环保;不提供餐具"
"如何查询我的订单？","星巴克App“订单/历史订单”可查看进行中与历史记录；第三方外卖请在对应平台订单详情查看。","外送与自取","订单;查询;历史;进行中;App"
"能否合并两张订单一起取？","同一手机号且相近时间的订单可在吧台合并叫号领取，请到店时告知店员。","外送与自取","合并订单;一起取;同号"
"是否提供礼品卡或代金券？","提供 Starbucks Card（实体/电子）与电子咖啡券，可在星巴克App管理与查询余额，有效期与规则以App说明为准。","会员与优惠","礼品卡;Starbucks Card;礼券;App"
"有满减或限时优惠吗？","不定期推出会员日、联名活动与门店优惠，请关注星巴克App与门店海报获取最新信息。","会员与优惠","优惠;活动;会员日;App"
"如何参与咖啡课程或杯测活动？","请关注星巴克App或品牌社交媒体的活动公告，报名后以App/短信通知为准。","营业信息","课程;活动;杯测;报名;App"
"企业发票最晚什么时候可以开？","一般在提交信息后7个自然日内由总部系统邮件发送电子发票。超过时限请联系门店或星巴克客服协助跟进。","支付与发票","企业;开票;邮箱;周期"
"外卖支持备注过敏信息吗？","支持在下单备注中过敏信息，我们会在制作前再次确认，但配送风险仍存在，建议严重过敏者谨慎选择外送。","过敏与健康","外卖;过敏;备注;提示"
"门店是否接受自带甜味剂？","可以，但请在点单时说明，我们会尽量协助调配。","产品与原料","代糖;甜味剂;自带"
"可以现场试喝手冲吗？","可在非高峰期提供小量试饮（10–20ml），以帮助选择产区与风味。","产品与原料","试饮;试喝;手冲;选择"
"如何选择适合我的咖啡？","告诉我们常喝的口味与甜度偏好（果酸/坚果/巧克力/花香），我们会根据当日豆单与风味卡推荐。","点单帮助","推荐;口味;风味;选择"
"可否做不那么酸的咖啡？","可选中度烘焙的拼配或产区，或改用意式萃取比例，减少酸质突出。","点单帮助","酸;不酸;烘焙;拼配"
"买了整包豆可以分装？","可应要求分装为2–3个小袋，贴上日期与研磨标记。","产品与原料","分装;小袋;贴标"
"线上商城发货需要多久？","本地仓48小时内发出，快递时效1–3天，节假日顺延。预售商品按页面承诺发货。","外送与自取","发货;快递;物流;在线"
"可以开具纸质发票吗？","可提供纸质收据。正式发票多以电子PDF形式邮件发送，如确需纸质版本请与门店确认可行性与取件方式。","支付与发票","纸质;收据;发票;PDF"
"是否有遗失物保管期限？","一般保管7日，贵重物品会联系警方或商场安保协助。","售后与反馈","失物;保管;期限"
"临时闭店如何通知？","将通过门店海报、星巴克App门店页与地图商家页同步告知，并在社交媒体更新。","营业信息","闭店;通知;公告;App"
"你们的拿铁为什么有时口感不同？","咖啡是农作物，产季与烘焙批次会自然波动；我们会在参数上尽量校准，确保在风味范围内的稳定。","产品与原料","波动;一致性;参数;口感"
"能否减少冰块但保持分量？","少冰会以相应比例增加基底，维持相似口感与容量，但过低冰量可能影响风味层次。","点单帮助","少冰;容量;基底;口感"
"是否支持先付后取？","星巴克App支持Mobile Order & Pay到店自取并预约时间；到店点单可先付款后到号取餐。","外送与自取","先付后取;预约;自取;Mobile Order"
"饮品制作顺序是什么？","采取“先热饮后冷饮、先简后繁”的原则，确保整体出品速度与品质。","点单帮助","出品顺序;制作;排队"
"可以把热饮做成温饮吗？","可以，常用温度45°C或55°C，适合对烫敏感的客人。","点单帮助","温饮;温度;不烫"
"是否提供杯套或二次杯？","热饮默认配杯套；如需加厚或二次杯请下单时备注，避免烫手与渗漏。","门店设施","杯套;二次杯;防烫"
"是否能出具过敏原清单？","可提供当前菜单主要过敏原表（乳/坚果/麸质/蛋），细项以配料标签为准。","过敏与健康","过敏原;清单;配料"
"是否可提供无咖啡味但带奶香的饮品？","推荐热可可、香草拿铁（低因/半浓缩）、或选择茶拿铁（伯爵/乌龙）。","产品与原料","奶香;不苦;可可;茶拿铁"
"是否提供多语言菜单？","电子菜单支持中英文切换，吧台可提供英文简版菜单。","营业信息","英文菜单;多语言;English"
"能否提供明细配方？","可提供非商业用途的主要配方比例参考；涉配方机密或联名限定不对外公开详细参数。","产品与原料","配方;比例;明细"
"是否有学生优惠？","持有效学生证工作日14:00–17:00指定饮品9折，不与其他活动同享。","会员与优惠","学生;折扣;校内"
"生日有福利吗？","会员生日当月凭身份证或绑定手机号，可享中杯美式5折或加价¥3升级其他指定饮品一次。","会员与优惠","生日;福利;半价"
"可以让咖啡师推荐吗？","当然。告诉我们更喜欢果酸、坚果、巧克力或花香，我们会基于当日豆单个性化推荐。","点单帮助","咖啡师;推荐;口味"
"是否提供分装糖浆？","不提供外带糖浆瓶；可在店内按需添加。","产品与原料","糖浆;分装;外带"
"可以不要拉花吗？","可在下单时备注“不要拉花”，以缩短出杯时间或减少表面奶泡。","点单帮助","拉花;不要;奶泡"
"能否把冰饮做成热饮？","大部分可，但柠檬/气泡类不建议加热。奶盖类加热会影响口感与稳定性。","点单帮助","冰饮变热;加热;限制"
"能不能做超大杯？","目前提供中杯与大杯；如需更大容量可选择加浓或加大牛奶比例的替代方案。","点单帮助","超大杯;加量;容量"
"如何保存带走的蛋糕？","低温保鲜2–4°C，尽快食用；常温超过1小时不建议再冷藏回食。","产品与原料","蛋糕;保存;冷藏"
"丢失的小票可以补开发票吗？","可凭支付记录与下单时间查询订单后补寄电子收据/电子发票。历史订单受系统保留期限限制，请尽快申请。","支付与发票","收据丢失;补发;电子发票"
"是否可以现金支付找零？","可以，收银台备有适量零钱，大额请提前说明。","支付与发票","现金;找零;支付"
"下雨天是否提供雨伞借用？","提供少量雨伞借用，需登记手机号，当日归还。","门店设施","雨伞;借用;下雨"
"能否提供热水？","可免费提供饮用温水；高峰期请耐心等候。","门店设施","热水;温水;免费"
"外带需要吸管和搅拌棒吗？","默认不放一次性餐具，您可在取餐台自取纸吸管与木搅拌棒。","门店设施","吸管;搅拌棒;一次性"
"如何获取最新活动信息？","关注星巴克App与门店海报、品牌社交媒体。会员通知会在App消息中心同步。","会员与优惠","活动;新品;推送;App"
"是否能提供咖啡渣带走用于园艺？","可以，按日打包，先到先得，请到吧台登记领取。","会员与优惠","咖啡渣;园艺;除味"
"能否提供工作面试的安静角落？","可在非高峰期安排靠墙或角落座位，建议提前电话说明时段与时长。","门店设施","面试;安静;角落"
"是否支持多人拼单？","星巴克App支持为同一门店发起多人点单或合并取餐（以功能开放为准），到店按同名或同桌号领取。","外送与自取","拼单;多人;桌号;App"
"当前可售咖啡有哪些？","当前门店可售标准饮品（示例，库存随时变动）：\n- 美式 Americano（热/冰）\n- 拿铁 Latte（热/冰，可换植物奶）\n- 澳白 Flat White（热）\n- 卡布奇诺 Cappuccino（热）\n- 摩卡 Mocha（热/冰）\n- 浓缩 Espresso（单/双）\n- 冷萃 Cold Brew（冰）\n- 氮气冷萃 Nitro Cold Brew（冰，设备状态为准）\n- 手冲单品 Pour-over（按当日豆单）\n- 抹茶拿铁 Matcha Latte（热/冰）\n- 热可可 Hot Chocolate（热）\n详细请以星巴克App“菜单”实时可售为准。","菜单","菜单;可售;今天;可选;列表"
"我可以从菜单里选择具体一款吗？","当然可以。以下为可选项（示例），下单时可备注杯型、热/冰、甜度、奶型与加料：\n1) Americano 美式（中/大，热/冰）\n2) Latte 拿铁（中/大，热/冰，可换燕麦/杏仁/豆奶）\n3) Flat White 澳白（中，大多为热）\n4) Cappuccino 卡布奇诺（中/大，热）\n5) Mocha 摩卡（中/大，热/冰）\n6) Espresso 浓缩（单/双）\n7) Cold Brew 冷萃（中/大，冰）\n8) Nitro Cold Brew 氮气冷萃（中/大，冰）\n9) Pour-over 手冲单品（按豆单，中）\n10) Matcha Latte 抹茶拿铁（中/大，热/冰）","菜单","点单;选择;杯型;热/冰;奶型"
"是否有新品或季节限定可选？","当季推荐与季节限定（如南瓜香料拿铁）会在App“菜单-季节限定”与门店海报展示，售完为止。若夜间时段，部分新品可能暂不可售。","菜单","新品;季节限定;PSL;推荐"
"能给我一个结构化的菜单清单吗？","以下为结构化清单（示例，按行“ID|名称|冷热|咖啡因|可换奶|备注”）：\nSKU-AMER|Americano 美式|热/冰|含咖啡因|不可换奶|可加糖浆\nSKU-LATT|Latte 拿铁|热/冰|含咖啡因|可换植物奶|可选燕麦/杏仁/豆奶\nSKU-FLAT|Flat White 澳白|热|含咖啡因|可换植物奶|拿铁风味更浓郁\nSKU-CAPU|Cappuccino 卡布奇诺|热|含咖啡因|可换植物奶|奶泡较丰富\nSKU-MOCH|Mocha 摩卡|热/冰|含咖啡因|可换植物奶|含巧克力风味\nSKU-ESPR|Espresso 浓缩|热|含咖啡因|不可换奶|单/双份\nSKU-CDBW|Cold Brew 冷萃|冰|含咖啡因|不可换奶|清爽低酸\nSKU-NITR|Nitro Cold Brew 氮气冷萃|冰|含咖啡因|不可换奶|设备状态为准\nSKU-POUR|Pour-over 手冲|热|含咖啡因|不可换奶|豆单实时变动\nSKU-MATC|Matcha Latte 抹茶拿铁|热/冰|不含咖啡|可换植物奶|含茶咖","菜单","结构化;SKU;清单;选择;点单"
"各类饮品的制作耗时大约多久？","一般参考（单杯，非高峰，制作到出杯）：\n- 美式 Americano：45–60秒（热/冰差异较小）\n- 拿铁 Latte：60–90秒（拉花或复杂图案+20–40秒）\n- 澳白 Flat White：70–90秒\n- 卡布奇诺 Cappuccino：70–90秒\n- 摩卡 Mocha：90–120秒（巧克力酱/奶油步骤）\n- 浓缩 Espresso：30–45秒（单份）；双份略长\n- 冷萃 Cold Brew：30–45秒（倒制与封装）\n- 氮气冷萃 Nitro：30–45秒（设备状态为准）\n- 手冲 Pour-over：3–5分钟（视豆单与水温）\n- 抹茶拿铁 Matcha：60–90秒\n高峰期或夜间人手精简时，以上时长可能增加30%–120%。","制作耗时","耗时;分钟;秒;拉花;高峰;夜间;ETA"
"如何预估我的取餐时间？","简化估算（示例）：\n预计取餐时间 = 当前排队前置订单总耗时 + 本单总耗时\n- 本单总耗时 ≈ 各饮品基准耗时求和 × 并行系数（同品类并行可减少10%–20%）\n- 高峰/夜间：整体乘以1.3–2.2\n更准确的预计时间请以星巴克App下单页或取餐台叫号为准。","制作耗时","取餐;预计;等待;排队;并行;系数"
"能给我一个结构化的制作耗时清单吗？","结构化耗时（示例，按行“SKU|基准耗时秒|高峰系数|备注”）：\nSKU-AMER|45-60|1.3-1.8|热/冰差异小\nSKU-LATT|60-90|1.3-2.0|拉花+20-40秒；可换植物奶\nSKU-FLAT|70-90|1.3-2.0|意浓占比高，拉花\nSKU-CAPU|70-90|1.3-2.0|奶泡较多\nSKU-MOCH|90-120|1.4-2.2|巧克力/奶油流程\nSKU-ESPR|30-45|1.2-1.6|单/双份\nSKU-CDBW|30-45|1.1-1.4|倒制与封装\nSKU-NITR|30-45|1.1-1.4|设备状态为准\nSKU-POUR|180-300|1.0-1.5|豆单与萃取配方\nSKU-MATC|60-90|1.3-2.0|抹茶冲调","制作耗时","结构化;SKU;耗时;高峰;ETA"
"你们真的是24小时营业吗？","是的，本门店为纽约区24小时营业门店。夜间（通常0:00–6:00）人手较精简，部分糕点与冷柜食品会在清晨统一补货，请理解可能出现缺货或等待。","营业信息","24小时;夜间;通宵;补货"
"24小时营业时段菜单是否完整？","夜间菜单以咖啡与常规茶饮为主，个别特调、氮气类与烘焙食品可能受限。详细可在星巴克App下单页查看实时可售菜单。","营业信息","夜间菜单;可售;缺货;App"
"夜间有安静或安全方面的要求吗？","为保障顾客体验与邻里安宁，夜间请尽量保持安静；如遇安全需要，员工可能引导调换座位或联系安保。","门店设施","夜间;安静;安全;安保"
"洗手间如何使用？","店内设有顾客洗手间，部分时段需要键盘密码进入，请向吧台询问。为安全起见，夜间可能采取单人限时进入。","门店设施","洗手间;密码;卫生间;夜间"
"是否支持 Starbucks Rewards 星星兑换？","支持，使用注册的 Starbucks Card 或星巴克App消费可累计星星并根据当期美国地区规则兑换。兑换档位、到期与可兑换品类以App展示为准。","会员与优惠","Starbucks Rewards;星星;兑换;到期"
"是否支持星礼卡/电子礼品卡？","支持 Starbucks Card（实体与电子礼品卡）。可在App内充值、转赠与查询余额，部分促销以品牌公告为准。","会员与优惠","Starbucks Card;eGift;礼品卡;充值"
"App 移动点单如何取餐？","在星巴克App选择本门店并完成下单，App会显示预计取餐时间。到店后在取餐台按订单名或编号领取，如遇拥挤请排队等待叫号。","外送与自取","移动点单;App;取餐;叫号"
"是否支持国际信用卡和移动支付？","支持主要国际信用卡（Visa/Mastercard/AmEx）与 Apple Pay/Google Pay。也可使用星巴克App或 Starbucks Card 支付。","支付与发票","国际信用卡;移动支付;AmEx;Apple Pay"
"可以给小费吗？","支持在POS或App选择电子小费，也可现金小费。是否显示小费选项以系统当日配置为准。","支付与发票","小费;tip;电子小费;现金"
"是否提供无接触取餐？","提供“到店自取”架，无需与员工直接接触即可领取订单。请核对姓名与饮品明细避免拿错。","外送与自取","无接触;自取架;非接触;领取"
"你们是臻选店吗？","本店为标准星巴克门店，非“星巴克臻选”门店。臻选门店与咖啡工坊请以App和官网标识为准。","营业信息","臻选;Reserve;标准门店"
"有氮气冷萃（Nitro Cold Brew）吗？","如设备开放且库存充足，则供应氮气冷萃。具体可在App菜单查看是否可选或到店询问。","产品与原料","氮气冷萃;Nitro;供应"
"是否有城市杯或周边可买？","有售城市杯、马克杯与周边，陈列与库存以当日为准，支持到店选购与部分线上渠道。","产品与原料","城市杯;周边;马克杯;库存"
"游客能办理退税吗？","美国零售咖啡饮品通常不提供增值税退税服务，门店不办理退税。可提供电子收据用于报销。","支付与发票","退税;收据;报销"
"是否提供中文服务？","以英语服务为主，部分员工可提供基础中文协助。App支持英文界面；如需中文点单建议现场沟通或使用图片说明。","营业信息","语言;中文;英文;服务"
"门店是否有停车？","本门店周边为城市道路与公共停车设施，不提供专属停车优惠。建议使用附近路边计时停车或商业停车场。","营业信息","停车;纽约;路边停车;停车场"
"是否有续杯政策？","遵循星巴克美国地区续杯规则：在同一门店同一次停留期间，可享热/冰冲煮咖啡或茶的续杯优惠，具体价格与资格以App与门店公告为准。","会员与优惠","续杯;refill;冲煮咖啡;茶"
"替代奶是否需要加价？","燕麦、杏仁、豆奶等植物奶通常需加价，金额以系统当日显示为准；脱脂/全脂牛奶不加价。","点单帮助","燕麦奶;植物奶;加价;替换"
"是否能开具收据或发票？","可提供电子或纸质收据。商务发票如有需要可登记邮箱由总部系统邮件发送，格式与内容以品牌规范为准。","支付与发票","收据;发票;邮箱;商务"
